subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
5c2a92b4b8e5f900015b3f58	slash	86.25	87.5	93.75	85.15625	81.25	81.25	93.75	84.375	905	918	859.5	950	909	641.812	0	0	0	0	0	0	-25	-25	-25	-25	-100	31	US	Female	16	White	No	No	NA	NA
5c3a925919ceb400010c9344	slash	96.25	95	78.125	100	100	100	100	100	461.5	417.5	418	402	422.5	492.495	0	0	0	0	0	0	25	25	25	25	100	22	US	Male	12	White	No	No	NA	NA
5c48ca334635bf000171c13f	slash	95	86.25	75	94.53125	100	87.5	93.75	96.875	782	820	778	732.5	773.5	670.92	0	0	0	0	0	0	25	25	25	25	100	34	US	Female	14	White	No	No	NA	NA
5c4e3977c0783c00016936f9	slash	88.75	90	62.5	96.09375	93.75	96.875	96.875	96.875	750.5	680	761	836.5	758.5	848.434	0	0	0	0	0	0	25	25	25	25	100	28	US	Male	14	White	No	No	NA	NA
5c4e9bd1818d4d00013e8859	z	88.75	92.5	62.5	97.65625	96.875	100	96.875	96.875	441.5	428.5	368	446.5	431.5	965.486	0	0	0	0	0	0	25	25	25	25	100	31	US	Female	14	White	No	No	NA	NA
5c535974b7cf140001d308d3	slash	96.25	96.25	90.625	97.65625	96.875	93.75	100	100	742.5	830.5	786.5	715.5	763.5	692.374	0	0	0	0	0	0	25	25	-12.5	25	62.5	29	US	Female	12	White	No	No	NA	NA
5c573f18d3cc6b0001d9dbc3	z	97.5	100	96.875	99.21875	100	100	96.875	100	580.5	601.5	693	610.5	619	902.429	0	0	0	0	0	0	25	25	25	25	100	30	US	Male	16	Black or African American	No	No	NA	NA
5c58e01e6f4ec5000164c35a	z	96.25	95	90.625	96.875	96.875	100	100	90.625	470	478	499	493.5	492.5	550.607	0	0	0	0	0	0	25	25	25	25	100	30	US	Female	12	White	No	No	NA	NA
5c64189eede39b0001c39e61	slash	81.25	85	93.75	80.46875	100	100	59.375	62.5	622.5	591	813.5	1062.5	749.5	777.663	0	0	0	0	0	0	25	25	25	25	100	35	US	Male	8	Multiple	Yes	No	NA	NA
5c6ac9e5d9c5be000174497f	z	95	92.5	96.875	92.96875	93.75	96.875	87.5	93.75	586	596.5	697	630	619	597.937	0	0	0	0	0	0	25	25	25	25	100	28	US	Female	12	White	No	No	NA	NA
5c800507a1d4b900114f28c4	slash	98.75	100	100	99.21875	100	100	96.875	100	665.5	647.5	627	636	640	551.492	0	0	0	0	0	0	25	12.5	25	25	87.5	31	US	Male	12	White	No	No	NA	NA
